,box_coord,obj_contour
185,[[ 32 149  48 345]],"[[151.15221774 119.60987903  49.61592742  43.90826613   0.95060484
   53.82157258  39.10181452  54.72278226  94.37600806 123.21471774
  264.40423387 284.83165323 296.84778226 296.84778226 276.4203629
  266.80745968 268.30947581 259.89818548 259.89818548 256.59375
  256.59375    219.04334677 214.83770161 196.81350806 197.41431452
  183.89616935 185.09778226 164.6703629  167.07358871 150.55141129
  150.55141129 150.55141129]
 [105.76209677 103.95967742  85.63508065  75.72177419  66.70967742
   66.10887097   2.12298387   2.12298387  55.29435484  63.10483871
   61.90322581  69.11290323  80.22782258  86.53629032  95.84879032
   98.55241935 108.16532258 108.16532258  99.15322581  99.15322581
  108.16532258 109.66733871 100.95564516 101.55645161 111.77016129
  111.77016129 103.05846774 104.26008065 110.26814516 110.56854839
  105.16129032 105.16129032]]"
186,[[ 35 130  58 351]],"[[127.49495968  38.28729839   1.83366935   1.53729839  18.72681452
    1.24092742  12.79939516  54.88407258  97.8578629  185.28729839
  254.0453629  282.79334677 291.38810484 293.16633065 293.16633065
  271.23487903 271.23487903 267.08568548 266.19657258 259.38004032
  259.67641129 205.44052419 205.44052419 186.76915323 185.58366935
  162.1703629  162.1703629  159.20665323 157.72479839 126.30947581
  126.60584677 136.38608871 134.31149194 127.19858871 127.19858871]
 [ 78.13709677  71.61693548  60.05846774  52.64919355  49.09274194
    2.26612903   1.96975806  47.01814516  49.09274194  52.05645161
   53.83467742  63.91129032  71.02419355  74.87701613  77.54435484
   80.80443548  84.95362903  85.25        94.14112903  94.14112903
   82.28629032  82.58266129  88.21370968  88.51008065  91.77016129
   91.77016129  86.1391129   85.54637097  89.99193548  91.17741935
   85.54637097  85.25        78.72983871  77.84072581  77.84072581]]"
187,[[ 27 111  50 347]],"[[122.31350806  67.33971774  17.17237903  17.17237903   8.16028226
    6.65826613  18.37399194   2.15221774  19.57560484  69.74294355
  204.32358871 266.80745968 274.91834677 293.84375    296.24697581
  296.24697581 274.31754032 265.00504032 266.20665323 257.7953629
  258.39616935 203.42237903 202.82157258 191.70665323 190.50504032
  169.17641129 169.17641129 153.55544355 153.55544355 145.44455645
  145.44455645 133.42842742 132.22681452 123.51512097 121.71270161
  131.62600806]
 [ 68.53427419  65.22983871  53.81451613  50.20967742  48.70766129
   43.60080645  43.90120968   3.64717742   3.04637097  43.60080645
   45.40322581  41.49798387  46.00403226  56.21774194  58.32056452
   62.22580645  71.23790323  72.43951613  81.15120968  82.35282258
   72.73991935  73.34072581  80.55040323  80.85080645  74.24193548
   75.14314516  80.25        79.64919355  76.34475806  76.34475806
   79.64919355  76.34475806  71.23790323  70.9375      67.93346774
   60.12298387]]"
188,[[ 30 131  55 347]],"[[232.50756048 249.63860887 249.04788306 245.20816532 245.20816532
  256.43195565 255.54586694 253.18296371 286.26360887 290.39868952
  290.39868952 283.60534274 270.01864919 247.86643145  88.07510081
   78.6234879   27.52570565   9.21320565  27.82106855   3.89667339
   43.17993952  78.0327621  142.1265121  146.85231855 146.26159274
  142.7172379  142.421875   179.046875   176.97933468 172.25352823
  172.25352823 194.40574597 194.99647177 202.97127016 203.56199597
  230.14465726 232.50756048 223.64667339]
 [ 86.64818548  86.94354839  93.14616935  94.32762097  99.64415323
   99.34879032  93.73689516  86.94354839  76.60584677  73.06149194
   68.92641129  65.97278226  57.11189516  53.27217742  52.97681452
   51.7953629    3.35584677   3.65120968  54.45362903  57.99798387
   72.17540323  81.62701613  83.98991935  83.98991935  91.37399194
   92.85080645  99.64415323 100.53024194  93.14616935  92.26008065
   83.98991935  84.87600806  93.44153226  94.03225806  99.05342742
   98.75806452  86.64818548  75.71975806]]"
189,[[ 36 120  56 344]],"[[ 16.96018145   1.8109879   17.54284274  57.45514113 194.38054435
  259.34727823 276.24445565 285.27570565 287.60635081 287.60635081
  264.59122984 257.01663306 257.01663306 250.89868952 250.31602823
  144.85433468 146.60231855 131.74445565 131.453125    72.31300403
    5.015625     5.015625     8.51159274   8.51159274  16.37752016
   16.37752016]
 [ 40.96068548   2.79637097   3.37903226  40.08669355  44.45665323
   47.66129032  53.19657258  59.60584677  61.93649194  65.14112903
   76.21169355  75.62903226  82.91229839  82.03830645  74.46370968
   76.50302419  84.36895161  84.9516129   72.42439516  68.05443548
   46.49596774  44.16532258  43.87399194  39.50403226  39.50403226
   39.50403226]]"
190,[[ 29 120  54 346]],"[[ 19.25554435   1.82913306  20.43699597  71.83014113 171.95816532
  200.01764113 266.47429435 289.2172379  291.28477823 270.3140121
  262.63457661 263.52066532 255.84122984 255.84122984 226.89566532
  226.60030242 188.4984879  185.84022177 185.84022177 169.29989919
  167.52772177 163.09727823 163.39264113 141.24042339 141.24042339
   91.32409274  11.57610887  11.57610887  18.96018145  18.96018145]
 [ 49.45362903   2.19556452   3.96774194  49.15826613  48.27217742
   44.13709677  43.84173387  59.20060484  65.69858871  76.33165323
   76.33165323  89.03225806  89.03225806  76.33165323  77.21774194
   86.37399194  85.19254032  85.19254032  89.03225806  89.03225806
   84.60181452  84.60181452  89.03225806  88.73689516  79.58064516
   78.10383065  60.38205645  51.52116935  49.45362903  49.15826613]]"
191,[[ 27 102  55 344]],"[[131.90625     78.99294355  25.78729839   7.36995968   3.86189516
    7.9546371   15.55544355   1.81552419  16.14012097  56.19052419
  202.65221774 250.88810484 271.35181452 280.70665323 287.13810484
  289.47681452 289.47681452 273.39818548 261.7046371  261.7046371
  254.10383065 254.10383065 188.03528226 185.40423387 163.18649194
  159.38608871 152.66229839 152.66229839 137.16834677 131.32157258
   24.61794355]
 [ 69.34173387  66.12600806  49.46270161  44.78528226  40.69254032
   38.35383065  38.06149194   2.98084677   2.39616935  38.64616935
   40.40020161  40.1078629   42.73891129  45.9546371   50.63205645
   52.09375     56.18649194  63.49495968  65.54133065  73.72681452
   73.72681452  66.12600806  67.58770161  71.38810484  71.38810484
   65.83366935  65.83366935  70.80342742  69.63407258  69.04939516
   33.38407258]]"
192,[[ 28 137  60 348]],"[[132.03578629  94.45413306  15.21219758   0.64566532  15.79485887
   25.70010081   2.10231855  17.83417339  82.21824597 176.02671371
  185.34929435 253.22933468 261.96925403 287.02368952 288.48034274
  275.66179435 252.64667339 252.35534274 244.19808468 244.48941532
  210.40372984 210.11239919 193.50655242 193.50655242 163.79082661
  168.16078629 168.16078629 127.95715726 127.95715726 130.87046371
  130.87046371]
 [ 95.99495968  93.95564516  75.01915323  66.27923387  64.82258065
   59.57862903   2.47782258   2.76915323  59.86995968  59.57862903
   56.66532258  54.04334677  58.99596774  73.85383065  79.68044355
   85.50705645  91.33366935 105.02620968 105.02620968  92.49899194
   94.53830645 100.65625    100.36491935  98.32560484  99.19959677
  101.23891129 104.73487903 104.15221774 100.36491935  95.70362903
   95.70362903]]"
193,[[ 63 131  50 341]],"[[ 42.44556452  29.49395161  21.54637097  20.66330645  17.42540323
   17.42540323   1.53024194  14.77620968  39.79637097  52.74798387
   55.10282258  51.86491935  72.46975806  99.25604839  83.3608871
   95.42943548 130.75201613 246.72782258 266.15524194 273.21975806
  288.82056452 290.29233871 263.21169355 246.43346774 225.53427419
  195.51008065 175.78830645 159.01008065 144.29233871 133.40120968
   71.58669355  59.51814516  58.34072581  40.67943548  40.38508065
   42.15120968  42.15120968]
 [ 48.24596774  32.05645161  32.93951613  25.58064516  25.58064516
   22.93145161  16.16129032  13.80645161  16.75        14.98387097
   19.10483871  20.5766129   35.29435484  29.40725806  17.04435484
   12.62903226  24.10887097   3.20967742   2.91532258   6.44758065
   11.15725806  16.16129032  29.11290323  32.35080645  36.76612903
   42.35887097  47.06854839  65.02419355  67.08467742  53.25
   59.72580645  60.60887097  56.78225806  52.95564516  47.9516129
   47.9516129   47.9516129 ]]"
194,[[ 31 108  55 347]],"[[119.97429435  69.4672379   53.51764113  53.81300403  50.859375
   49.67792339  52.33618952  52.04082661  23.98135081   1.82913306
   26.34425403  57.94808468  74.48840726 198.54082661 262.04385081
  274.15372984 282.12852823 292.46622984 292.46622984 275.03981855
  263.22530242 263.52066532 259.38558468 257.90877016 259.68094758
  259.68094758 177.86542339 129.72127016 129.72127016 134.44707661
  132.9702621  114.6577621  114.6577621  119.08820565 119.08820565]
 [ 62.83366935  61.35685484  57.5171371   68.15020161  70.21774194
   66.08266129  65.49193548  57.8125      48.9516129    2.5796371
    4.94254032  33.29737903  38.02318548  39.5         40.38608871
   43.93044355  50.42842742  55.15423387  60.17540323  64.01512097
   65.19657258  74.94354839  76.125       71.69455645  70.51310484
   65.19657258  63.71975806  62.83366935  65.78729839  66.96875
   71.98991935  73.17137097  65.78729839  62.83366935  62.53830645]]"
195,[[ 26 133  53 344]],"[[147.2358871  108.96975806   4.76814516  13.59879032  20.95766129
   21.25201613   3.59072581  21.25201613  64.52217742  77.17943548
   80.41733871 245.55040323 272.33669355 279.98991935 288.23185484
  290.58669355 290.29233871 278.22379032 265.56653226 252.32056452
  252.32056452 250.26008065 250.55443548 250.55443548 244.37298387
  243.78427419 245.25604839 245.25604839 214.64314516 214.64314516
  205.8125     205.22379032 175.78830645 175.78830645 165.19153226
  163.71975806 159.89314516 157.83266129 140.46572581 140.46572581
  146.35282258 146.35282258 146.35282258]
 [ 90.41129032  89.52822581  60.09274194  56.56048387  56.56048387
   52.43951613   7.69758065   5.34274194  48.31854839  54.79435484
   56.26612903  57.14919355  63.91935484  68.33467742  72.16129032
   75.10483871  80.40322581  86.29032258  87.46774194  89.23387097
   94.53225806  96.2983871  100.125      103.9516129  103.9516129
   98.06451613  96.59274194  90.41129032  90.70564516  97.47580645
   97.47580645 102.47983871 100.71370968  97.18145161  97.18145161
  101.30241935 101.30241935 103.9516129  104.54032258  96.88709677
   96.00403226  90.41129032  90.41129032]]"
196,[[ 27 112  52 346]],"[[130.30594758  94.62046371  69.640625     4.81199597   4.2172379
   15.51764113   1.24344758  15.2202621   45.25554435  56.55594758
   60.12449597 143.390625   143.68800403 147.55393145 147.85131048
  251.93397177 265.01864919 281.07711694 287.02469758 292.97227823
  293.56703629 282.86139113 264.42389113 264.42389113 260.85534274
  262.3422379  266.20816532 265.91078629 254.31300403 254.61038306
  258.47631048 256.69203629 171.34425403 169.85735887 157.07006048
  157.07006048 121.08719758 121.38457661 130.60332661 129.71118952
  130.90070565]
 [ 71.75100806  71.75100806  66.69556452  45.87903226  40.22883065
   39.33669355   0.67741935   0.67741935  33.09173387  39.33669355
   39.93145161  42.01310484  39.03931452  39.03931452  42.01310484
   45.87903226  46.17641129  51.8266129   55.98991935  58.96370968
   63.72177419  69.96673387  71.15625     75.02217742  75.31955645
   78.59072581  78.88810484  82.45665323  83.34879032  77.99596774
   77.99596774  72.0483871   71.45362903  77.69858871  76.50907258
   81.86189516  82.15927419  74.72479839  74.72479839  70.85887097
   66.39818548]]"
197,[[ 28 141  48 348]],"[[ 41.61441532  33.72530242  47.07610887  81.05997984  92.59022177
   99.265625    76.20514113  92.59022177 131.12550403 177.54989919
  177.54989919 180.28074597 180.58417339 252.19304435 263.41985887
  275.25352823 282.53578629 284.96320565 294.06602823 299.83114919
  298.01058468 277.984375   277.37752016 262.81300403 263.72328629
  266.45413306 265.54385081 258.86844758 256.74445565 259.171875
  257.6547379  231.25655242 232.77368952 228.82913306 198.48639113
  197.57610887 192.11441532 192.11441532 186.95614919 186.34929435
  175.12247984 176.33618952 161.77167339 164.19909274 161.46824597
  154.1859879  151.75856855 145.99344758 107.45816532  86.21824597
   85.91481855  81.05997984  81.05997984  36.45614919  34.33215726
    3.07913306  14.30594758  41.61441532  41.61441532]
 [ 54.01058468   2.12449597   2.12449597  46.72832661  50.97631048
   50.97631048  37.32207661  37.01864919  54.01058468  53.40372984
   50.06602823  50.06602823  54.3140121   53.10030242  54.61743952
   57.95514113  62.50655242  64.63054435  68.57510081  75.25050403
   77.67792339  87.38760081  90.421875    93.15272177  95.58014113
   98.61441532 102.55897177 102.55897177  98.00756048  95.58014113
   90.11844758  90.421875   102.86239919 106.20010081 108.02066532
  104.98639113 104.68296371 102.86239919 102.25554435  99.52469758
  101.3452621  110.7515121  109.53780242  97.70413306  97.09727823
  101.3452621  101.04183468  93.75957661  91.63558468  86.78074597
   88.9047379   87.38760081  84.96018145  73.1265121   64.63054435
   44.30090726  44.30090726  54.61743952  54.61743952]]"
198,[[ 43 152  79 352]],"[[133.49495968 118.30342742  95.10181452  52.28931452   3.40020161
    3.12399194  18.59173387  10.30544355   2.57157258  18.31552419
   19.69657258  30.19254032  34.88810484  46.76512097  66.65221774
  100.90221774 127.69455645 110.56955645 110.84576613 104.21673387
  123.55141129 154.48689516 174.92641129 176.03125    178.5171371
  179.89818548 182.1078629  186.25100806 186.25100806 181.00302419
  181.00302419 229.33971774 229.33971774 232.93044355 232.93044355
  244.80745968 260.27520161 271.87600806 271.87600806 262.20866935
  254.47479839 255.30342742 253.92237903 245.08366935 244.80745968
  180.72681452 163.60181452 163.60181452 160.01108871 155.03931452
  150.34375    146.75302419 152.00100806 152.00100806 145.37197581
  142.60987903 138.19052419 132.39012097 132.11391129]
 [ 91.95967742  88.64516129  87.54032258  76.76814516  63.51008065
   57.15725806  55.22379032  10.47782258   1.6391129    1.36290323
    3.29637097   3.29637097   8.26814516  28.70766129  45.28024194
   53.84274194  54.67137097  32.57459677  28.43145161  16.27822581
   15.72580645  42.51814516  42.51814516  45.55645161  45.55645161
   23.18346774  46.66129032  47.21370968  52.18548387  55.77620968
   58.53830645  60.74798387  56.88104839  56.88104839  60.19556452
   62.68145161  72.34879032  79.80645161  87.54032258  91.95967742
   92.2358871   98.03629032 104.94153226 105.21774194  93.61693548
   91.95967742  93.61693548  97.48387097  97.48387097 107.70362903
  107.70362903  99.69354839  97.20766129  94.16935484  93.34072581
   97.48387097  97.48387097  91.40725806  91.40725806]]"
199,[[ 31 135  56 346]],"[[100.97127016  22.94102823  22.94102823   1.52671371  13.84727823
   30.56804435  15.60735887  31.1547379   67.82308468  98.62449597
  165.21421371 165.21421371 171.08114919 171.08114919 238.25756048
  262.31199597 274.63256048 275.21925403 286.953125   289.00655242
  289.00655242 268.17893145 254.39163306 255.85836694 249.11139113
  248.52469758 205.40272177 205.40272177 168.734375   168.734375
  160.8140121  160.22731855 144.67993952 146.14667339 149.3734879
  149.66683468 100.67792339 100.67792339]
 [ 90.25504032  68.84072581  64.14717742  54.1733871   53.58669355
   56.81350806   3.42439516   2.83770161  45.0796371   54.46673387
   55.64012097  50.94657258  52.11995968  55.64012097  56.81350806
   60.62701613  66.49395161  70.30745968  75.88104839  77.93447581
   82.62802419  90.84173387  92.60181452 101.40221774 101.98891129
   92.89516129  92.89516129  97.00201613  96.70866935  92.01512097
   92.01512097  99.6421371  100.22883065  93.77520161  93.77520161
   92.30846774  89.66834677  89.66834677]]"
200,[[ 35 121  50 345]],"[[145.06854839  68.08467742   6.31854839  14.0766129    7.21370968
   23.02822581   3.33467742  21.53629032  61.22177419  72.56048387
  206.83467742 262.63306452 282.625      290.08467742 294.26209677
  294.56048387 288.89112903 266.51209677 264.72177419 257.26209677
  257.26209677 204.74596774 198.77822581 161.47983871 160.58467742
  137.90725806 139.39919355 144.47177419 143.875      143.27822581]
 [ 72.94354839  70.55645161  55.33870968  54.74193548  48.77419355
   48.47580645   1.92741935   2.82258065  42.50806452  45.49193548
   46.38709677  48.17741935  53.25        59.21774194  61.90322581
   66.67741935  69.36290323  71.15322581  84.28225806  84.28225806
   71.4516129   71.4516129   79.80645161  78.61290323  84.58064516
   84.87903226  79.50806452  77.71774194  72.64516129  72.34677419]]"
201,[[ 33  60  51 273]],"[[133.46824597]
 [ 16.07358871]]"
202,[[ 30 142  45 350]],"[[141.62399194 115.40423387  68.20866935  22.55544355  18.5453629
    1.5796371   28.1078629   28.1078629   13.60987903  30.88407258
   59.57157258  78.0796371   90.10987903 175.24697581 243.41834677
  264.70262097 277.34979839 285.67842742 289.38004032 298.32560484
  302.64415323 304.18649194 304.18649194 294.62399194 285.36995968
  279.50907258 272.10584677 270.56350806 262.23487903 262.23487903
  205.78528226 192.21270161 170.61995968 171.85383065 171.23689516
  143.16633065 143.78326613 141.31552419 141.31552419]
 [104.8125     100.18548387  91.5483871   76.43346774  69.64717742
   63.47782258  64.09475806  59.77620968   3.63508065   3.63508065
   39.41733871  57.30846774  61.93548387  61.31854839  63.78629032
   64.71169355  67.79637097  73.65725806  76.125       78.90120968
   81.06048387  83.83669355  86.92137097  93.70766129  96.79233871
   98.33467742  99.26008065 109.43951613 109.43951613 100.80241935
  101.72782258 107.58870968 107.58870968 109.43951613 111.90725806
  110.6733871  105.73790323 104.8125     104.8125    ]]"
203,[[ 32 130  52 344]],"[[119.08820565  70.64868952  27.23034274  10.98538306   9.50856855
    5.3734879    5.3734879   11.28074597   2.71522177  17.18800403
   46.72429435  85.41683468  88.07510081  88.07510081  84.23538306
   83.05393145 236.34727823 236.34727823 239.30090726 239.59627016
  267.36038306 281.24243952 285.08215726 290.69405242 292.46622984
  289.2172379  282.12852823 253.18296371 253.18296371 246.68497984
  247.57106855 240.18699597 240.18699597 195.88256048 193.81502016
  169.29989919 164.86945565 163.09727823 154.82711694 149.51058468
  153.05493952 151.8734879  131.49344758 112.59022177 113.18094758
  118.79284274 118.49747984 122.04183468]
 [ 85.44354839  84.55745968  73.03830645  71.56149194  68.6078629
   68.3125      62.10987903  60.33770161   5.10483871   2.74193548
   33.75504032  34.93649194  39.36693548  47.34173387  49.11391129
   52.06754032  50.2953629   47.63709677  46.75100806  49.7046371
   52.65826613  59.15625     63.58669355  66.24495968  70.67540323
   73.92439516  77.7641129   80.71774194  86.625       86.9203629
   94.30443548  94.30443548  82.19455645  82.48991935  92.23689516
   91.35080645  88.39717742  83.37600806  83.37600806  88.39717742
   93.71370968  97.25806452  96.96270161  95.78125     89.28326613
   89.28326613  85.44354839  73.03830645]]"
204,[[ 47 133  58 348]],"[[ 22.94102823  15.60735887  11.20715726  11.79385081   2.70010081
    2.70010081   8.27368952  15.60735887  26.46118952  53.74243952
   67.5297379  164.92086694 161.10735887 172.25453629 183.10836694
  205.40272177 235.03074597 254.68497984 261.13860887 266.41885081
  287.83316532 290.17993952 249.99143145 249.4047379  231.51058468
  227.40372984 214.203125   212.44304435 187.50856855 167.26764113
   29.68800403  25.87449597  18.83417339  17.66078629  22.64768145
   22.64768145]
 [ 69.81451613  64.82762097  64.82762097  61.0141129   35.19959677
   17.59879032  12.02520161  13.19858871  19.65221774  48.69354839
   50.16028226  20.53225806  13.19858871   4.69153226   4.69153226
    8.7983871    4.69153226   2.63810484   4.98487903   7.91834677
   18.47883065  22.58568548  42.8266129   58.08064516  66.88104839
   80.96169355  82.42842742  73.33467742  79.2016129   63.94758065
   72.16129032  78.90826613  79.2016129   74.50806452  69.52116935
   69.52116935]]"
205,[[ 32 135  57 342]],"[[ 12.46471774  15.05947581  30.91633065  54.55745968  69.83770161
   78.48689516 108.75907258 125.48084677 136.14818548 144.50907258
  156.90625    155.46471774 118.84979839  97.22681452 111.6421371
  149.69858871 183.43044355 199.57560484 221.77520161 224.36995968
  223.79334677 236.7671371  241.38004032 240.22681452 240.22681452
  251.18245968 254.6421371  273.95866935 285.77923387 285.49092742
  267.90423387 258.67842742 260.40826613 248.58770161 248.29939516
  195.53931452 191.79133065 162.09576613 162.09576613 104.43447581
  101.83971774 103.56955645   8.42842742  10.73487903   2.37399194
    2.08568548  12.17641129  12.17641129  12.17641129]
 [ 32.89516129   3.48790323   4.06451613  35.77822581  49.90524194
   55.09475806  56.24798387  50.77016129  57.97782258  57.40120968
   52.78830645  47.31048387  46.15725806  35.2016129   28.28225806
   26.55241935  34.0483871   26.2641129   25.6875      25.97580645
   12.13709677  18.47983871  39.23790323  52.5         57.11290323
   58.55443548  64.03225806  64.89717742  72.10483871  75.85282258
   91.13306452  92.57459677  99.49395161 100.64717742  93.43951613
   94.59274194 102.37701613  99.78225806  91.13306452  84.21370968
   77.29435484  74.69959677  62.0141129   37.50806452  37.50806452
   34.0483871   33.18346774  32.31854839  32.31854839]]"
206,[[ 30 147  58 342]],"[[ 36.26864919  11.5609879    1.79284274   2.6547379   14.72127016
   45.74949597  58.10332661 129.06602823 148.31502016 167.5640121
  176.18296371 194.57006048 198.30493952 264.09627016 261.79788306
  271.85332661 278.46118952 283.05796371 274.4390121  281.62147177
  269.26764113 228.47127016 212.0952621  215.83014113 225.59828629
  229.33316532 221.86340726 214.39364919 204.91280242 206.34929435
  204.05090726 200.02872984 168.13860887 167.5640121  114.70110887
   52.64465726  42.30191532  40.578125    33.10836694  31.671875
   34.83215726  34.83215726]
 [101.7328629  103.74395161  90.52822581  75.30141129  50.01915323
   76.45060484  76.45060484  54.04133065  48.2953629   41.6875
   49.15725806  45.70967742  47.72076613  36.22883065   3.18951613
   35.65423387  37.37802419  41.97479839  52.31754032  92.25201613
   70.99193548  82.48387097  85.64415323  90.24092742  91.39012097
  110.92641129 116.09778226 115.81048387 102.30745968  93.11391129
   89.09173387  93.97580645  97.99798387  92.8266129   96.56149194
  100.58366935 100.87096774 112.07560484 112.65020161 105.46774194
  101.44556452 101.44556452]]"
207,[[ 44 190  67 342]],"[[ 54.89314516  50.71975806  39.59072581  38.47782258  33.19153226
   31.52217742  20.94959677   8.42943548   2.03024194   2.03024194
   17.8891129   27.34879032  54.05846774 118.05040323 109.42540323
  133.07459677 143.09072581 146.42943548 157.55846774 175.36491935
  187.32862903 200.68346774 228.78427419 234.90524194 237.40927419
  237.96572581 241.02620968 241.02620968 238.80040323 241.8608871
  259.1108871  274.41330645 274.69153226 256.60685484 251.59879032
  247.70362903 246.03427419 241.8608871  227.11491935 225.72379032
  228.78427419 226.00201613 207.6391129  193.44959677 152.55040323
  126.39717742 126.11895161 120.55443548 119.71975806  54.05846774
   54.05846774]
 [ 84.85080645  89.02419355  89.02419355  91.52822581  91.52822581
   86.52016129  80.67741935  75.94758065  69.5483871   58.14112903
   30.31854839  30.31854839  63.70564516  65.09677419  59.53225806
   62.03629032  63.98387097  13.06854839   3.88709677   5.27822581
   22.52822581  50.35080645  52.02016129  33.10080645  33.10080645
   62.31451613  62.59274194  68.15725806  68.15725806  74.27822581
   75.66935484  85.68548387  89.85887097 107.10887097 107.10887097
  138.27016129 116.84677419 119.07258065 119.62903226 118.79435484
  138.8266129  143.55645161 143.55645161 138.8266129   98.76209677
   94.58870968  98.48387097  97.64919355  94.03225806  84.85080645
   84.85080645]]"
208,[[ 42 158  65 345]],"[[  8.85635081   2.05796371   6.8734879   32.36743952  73.72429435
  162.953125   145.390625   172.86743952 196.37852823 236.31905242
  236.88558468 227.82106855 228.38760081 270.02772177 269.46118952
  275.1265121  278.52570565 278.24243952 274.84324597 274.84324597
  271.72731855 244.81703629 245.38356855 239.71824597 238.86844758
  229.52066532 233.76965726 245.38356855 251.89868952 251.89868952
  245.95010081 231.78679435 217.6234879  213.94102823 174.85030242
   84.20514113  23.86945565  21.03679435  14.80493952   8.57308468
    8.57308468]
 [ 91.85887097  45.68649194  40.02116935  36.62197581  65.51512097
   28.69052419  22.45866935   9.14516129   9.71169355   2.63004032
    6.3125      14.24395161  36.05544355  29.25705645   2.06350806
   37.75504032  37.75504032  43.98689516  43.4203629   82.79435484
   63.53225806  72.88004032  76.27923387  76.27923387  73.44657258
   77.12903226  89.87600806  91.29233871 102.33971774 111.97076613
  115.65322581 115.65322581 115.36995968 102.90625     86.76008065
   89.87600806 102.62298387  94.125       95.25806452  91.00907258
   91.00907258]]"
209,[[ 38 190  60 347]],"[[ 13.41935484   5.           5.          12.83870968  33.16129032
   69.16129032  69.16129032 111.25806452 145.51612903 175.70967742
  187.61290323 187.61290323 205.32258065 228.83870968 254.67741935
  252.06451613 236.96774194 266.29032258 272.09677419 276.4516129
  269.77419355 249.74193548 246.5483871  253.80645161 252.93548387
  244.51612903 230.         222.74193548 222.74193548 198.35483871
  172.80645161 133.90322581  41.29032258  24.16129032  12.5483871
   12.5483871 ]
 [ 97.03225806  86.58064516  63.64516129  56.09677419  58.12903226
   75.25806452  81.93548387  77.29032258  71.77419355  68.87096774
   65.38709677  60.4516129   12.25806452   4.41935484   3.25806452
   16.90322581  58.41935484  56.67741935  61.90322581 101.38709677
  110.96774194 110.96774194 123.4516129  131.29032258 146.38709677
  151.03225806 151.32258065 143.19354839 130.41935484 109.51612903
  111.25806452 111.5483871  107.19354839 105.74193548  96.16129032
   96.16129032]]"
210,[[ 37 141  65 347]],"[[112.47328629  82.80393145   4.921875     4.921875    20.89768145
   10.3422379    1.4984879   15.76260081  32.87953629  39.72631048
   48.57006048  74.24546371 105.05594758 131.87247984 112.18800403
  113.32913306 102.77368952 125.02570565 158.40372984 180.94102823
  179.51461694 188.07308468 187.2172379  191.78175403 191.49647177
  186.93195565 188.07308468 253.97328629 267.09627016 281.07510081
  281.07510081 275.94002016 268.80796371 264.24344758 263.10231855
  256.82610887 254.82913306 188.64364919 179.51461694 171.24143145
  171.24143145 164.96522177 162.96824597 152.98336694 152.98336694
  151.8422379  141.57207661 139.86038306 117.03780242 117.03780242
  113.61441532 112.18800403 115.32610887]
 [ 84.66633065  82.9546371   64.98185484  59.27620968  58.13508065
   11.63407258   2.50504032   1.64919355   5.3578629   13.06048387
   26.75403226  43.87096774  51.57358871  49.29133065  26.75403226
   24.18649194  10.77822581  11.06350806  37.30947581  38.16532258
   28.18044355  28.75100806  39.87701613  40.16229839  44.72681452
   45.01209677  51.28830645  51.00302419  60.41733871  68.69052419
   74.39616935  79.81653226  82.09879032  82.09879032  94.08064516
   94.08064516  84.38104839  83.81048387  88.375       88.375
   91.7983871   91.7983871  102.92439516 102.92439516  92.36895161
   91.7983871   92.08366935  87.80443548  84.9516129   86.94858871
   86.94858871  84.66633065  81.52822581]]"
211,[[ 47 161  62 351]],"[[143.59979839  88.05544355  77.82358871  50.63608871  26.0796371
   26.95665323  18.47883065   2.98487903  19.35584677  46.25100806
   66.13004032 131.61391129 127.81350806 149.73891129 159.67842742
  197.09778226 198.85181452 200.89818548 200.89818548 235.97883065
  253.51915323 288.59979839 287.72278226 262.28931452 257.31955645
  258.19657258 250.59576613 252.05745968 213.17641129 210.5453629
  207.91431452 195.92842742 183.3578629  170.49495968 169.32560484
  166.40221774 161.14012097 157.63205645 159.38608871 154.12399194
  151.78528226 140.96875    141.84576613 141.84576613]
 [ 85.77217742  82.84879032  80.21774194  70.57056452  57.12298387
   54.19959677  15.31854839   2.45564516   3.04032258  11.51814516
   37.53629032  50.10685484  40.16733871  41.62903226  54.19959677
   54.19959677  53.61491935  42.21370968  55.36895161  57.12298387
   67.64717742  85.77217742  89.57258065  91.91129032  96.88104839
  110.03629032 107.69758065  91.03427419  89.57258065 103.89717742
   91.61895161  93.37298387  98.63508065  97.75806452 112.375
  113.83669355 113.83669355 109.15927419  94.25        93.08064516
   97.46572581  96.00403226  85.1875      84.89516129]]"
